"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Samoa                                                                                     "
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 14-Oct-2021 09:23:51                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1981, 01,   29601, 1981.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 02,   29632, 1981.1260,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 03,   29660, 1981.2027,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 04,   29691, 1981.2877,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 05,   29721, 1981.3699,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 06,   29752, 1981.4548,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 07,   29782, 1981.5370,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 08,   29813, 1981.6219,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981, 09,   29844, 1981.7068,   339.03,   339.22,     339.12,   339.31,     339.03,   339.22
1981, 10,   29874, 1981.7890,   339.06,   339.25,     339.30,   339.49,     339.06,   339.25
1981, 11,   29905, 1981.8740,   339.70,   339.75,     339.62,   339.67,     339.70,   339.75
1981, 12,   29935, 1981.9562,   339.92,   339.80,     339.96,   339.84,     339.92,   339.80
1982, 01,   29966, 1982.0411,   340.69,   340.46,     340.24,   340.00,     340.69,   340.46
1982, 02,   29997, 1982.1260,   340.97,   340.69,     340.44,   340.16,     340.97,   340.69
1982, 03,   30025, 1982.2027,   340.25,   340.03,     340.50,   340.28,     340.25,   340.03
1982, 04,   30056, 1982.2877,   340.78,   340.76,     340.41,   340.40,     340.78,   340.76
1982, 05,   30086, 1982.3699,   339.85,   340.01,     340.34,   340.51,     339.85,   340.01
1982, 06,   30117, 1982.4548,   340.22,   340.36,     340.46,   340.60,     340.22,   340.36
1982, 07,   30147, 1982.5370,   341.13,   341.18,     340.64,   340.68,     341.13,   341.18
1982, 08,   30178, 1982.6219,   341.35,   341.43,     340.67,   340.75,     341.35,   341.43
1982, 09,   30209, 1982.7068,   340.53,   340.73,     340.61,   340.81,     340.53,   340.73
1982, 10,   30239, 1982.7890,   340.12,   340.33,     340.68,   340.88,     340.12,   340.33
1982, 11,   30270, 1982.8740,   340.57,   340.62,     340.91,   340.96,     340.57,   340.62
1982, 12,   30300, 1982.9562,   340.92,   340.80,     341.18,   341.06,     340.92,   340.80
1983, 01,   30331, 1983.0411,   340.62,   340.37,     341.43,   341.19,     340.62,   340.37
1983, 02,   30362, 1983.1260,   341.03,   340.73,     341.64,   341.34,     341.03,   340.73
